"lncRNA","mRNA","correlation","pvalue"
"MSTRG.6.1","ENSG00000187634.13",-0.372104203767625,0.627895796232375
"MSTRG.7.1","ENSG00000187634.13",0.861125673941778,0.138874326058222
"MSTRG.7.1","ENSG00000188976.11",-0.428508327170047,0.571491672829953
"MSTRG.7.1","ENSG00000187961.15",-0.520877296895421,0.479122703104579
"MSTRG.7.1","ENSG00000187583.11",0.365355626462129,0.634644373537871
"MSTRG.7.1","ENSG00000187642.10",-0.100883472268104,0.899116527731896
"MSTRG.7.1","ENSG00000188290.11",0.47463248890844,0.52536751109156
"MSTRG.7.1","ENSG00000187608.10",0.999998887987232,1.11201276798167e-06
"MSTRG.7.1","ENSG00000188157.16",0.844880483759926,0.155119516240074
"MSTRG.8.1","ENSG00000187634.13",-0.53748384988657,0.46251615011343
"MSTRG.8.1","ENSG00000188976.11",0.0492686784796723,0.950731321520328
"MSTRG.8.1","ENSG00000187961.15",-0.166945140823544,0.833054859176456
"MSTRG.8.1","ENSG00000187583.11",-0.577350269189626,0.422649730810374
"MSTRG.8.1","ENSG00000187642.10",-0.333333333333333,0.666666666666667
"MSTRG.8.1","ENSG00000188290.11",-0.658426921959221,0.341573078040779
"MSTRG.8.1","ENSG00000187608.10",-0.320858500744964,0.679141499255036
"MSTRG.8.1","ENSG00000188157.16",-0.220737646211864,0.779262353788136
"MSTRG.9.1","ENSG00000187634.13",-0.101398173847749,0.898601826152251
"MSTRG.9.1","ENSG00000188976.11",-0.411593159376441,0.588406840623559
"MSTRG.9.1","ENSG00000187961.15",-0.194187778337751,0.805812221662249
"MSTRG.9.1","ENSG00000187583.11",0.525923706140778,0.474076293859222
"MSTRG.9.1","ENSG00000187642.10",-0.537213111247109,0.462786888752891
"MSTRG.9.1","ENSG00000188290.11",0.402928177051902,0.597071822948098
"MSTRG.9.1","ENSG00000187608.10",-0.585332348090286,0.414667651909714
"MSTRG.9.1","ENSG00000188157.16",-0.915089754524112,0.0849102454758879
"MSTRG.10.1","ENSG00000187634.13",-0.077220652799903,0.922779347200097
