lncRNA,mRNA,correlation,pvalue
MSTRG.7.1,ENSG00000187608.10,0.999998887987232,1.11201276798167e-06
MSTRG.12.1,ENSG00000187634.13,-0.971625413446944,0.0283745865530564
MSTRG.13.1,ENSG00000187608.10,0.959389925097484,0.0406100749025158
MSTRG.14.1,ENSG00000188157.16,0.968986539731565,0.0310134602684352
MSTRG.15.3,ENSG00000187583.11,0.986393923832144,0.0136060761678561
MSTRG.15.3,ENSG00000188290.11,0.97492383705023,0.0250761629497705
MSTRG.15.3,ENSG00000131591.18,-0.958676324308098,0.0413236756919019
MSTRG.16.1,ENSG00000188157.16,0.95895292480831,0.0410470751916904
MSTRG.20.1,ENSG00000187608.10,0.991331842270934,0.0086681577290658
MSTRG.22.1,ENSG00000078808.20,0.976862634552081,0.0231373654479194
MSTRG.22.1,ENSG00000224051.7,0.970888701979025,0.0291112980209747
MSTRG.26.1,ENSG00000162571.14,1.0,0.0
MSTRG.27.1,ENSG00000162571.14,1.0,0.0
MSTRG.28.1,ENSG00000186891.14,-0.992398217393426,0.0076017826065741
MSTRG.29.1,ENSG00000160087.21,0.990816948307531,0.0091830516924687
MSTRG.29.1,ENSG00000162572.21,0.952847716488665,0.0471522835113346
MSTRG.29.1,ENSG00000127054.22,0.989896363317046,0.0101036366829538
MSTRG.29.1,ENSG00000107404.21,0.978246246327418,0.0217537536725819
MSTRG.29.1,ENSG00000162576.17,0.971590076099512,0.0284099239004878
MSTRG.29.1,ENSG00000221978.13,0.975162003352512,0.0248379966474876
MSTRG.30.1,ENSG00000186827.12,0.986440050415621,0.0135599495843789
MSTRG.33.1,ENSG00000186827.12,-0.989825220269756,0.0101747797302439
MSTRG.34.1,ENSG00000186827.12,0.969563611732853,0.030436388267147
MSTRG.43.1,ENSG00000162572.21,0.999728404370698,0.000271595629302
MSTRG.43.1,ENSG00000221978.13,0.957054677123221,0.0429453228767793
MSTRG.44.1,ENSG00000162572.21,0.989745709015096,0.0102542909849036
MSTRG.45.1,ENSG00000127054.22,0.971975861295083,0.0280241387049174
MSTRG.45.1,ENSG00000221978.13,0.983522361367778,0.0164776386322215
MSTRG.47.1,ENSG00000205116.4,0.963248843369996,0.0367511566300039
MSTRG.50.1,ENSG00000179403.12,0.989240078721792,0.0107599212782081
MSTRG.50.1,ENSG00000197785.14,0.963507738268034,0.0364922617319664
MSTRG.53.1,ENSG00000197530.13,0.969881164287795,0.0301188357122051
MSTRG.59.1,ENSG00000160075.12,0.998168756277295,0.0018312437227049
MSTRG.61.1,ENSG00000160075.12,0.967217874222511,0.0327821257774887
MSTRG.72.1,ENSG00000248333.9,0.979601563439073,0.0203984365609265
MSTRG.80.1,ENSG00000157933.11,0.99341117027187,0.00658882972813
MSTRG.82.1,ENSG00000067606.17,0.969956637035026,0.030043362964974
MSTRG.87.1,ENSG00000116151.14,0.9966986586648,0.0033013413352001
MSTRG.87.1,ENSG00000157916.20,0.95652300863227,0.0434769913677302
MSTRG.87.1,ENSG00000149527.18,0.98652930612233,0.0134706938776695
MSTRG.90.1,ENSG00000116151.14,0.995603343061359,0.0043966569386405
MSTRG.90.1,ENSG00000149527.18,0.998035046465003,0.0019649535349971
MSTRG.92.1,ENSG00000157881.16,0.999865446942598,0.000134553057402
MSTRG.94.1,ENSG00000149527.18,0.988952922587323,0.0110470774126765
MSTRG.94.1,ENSG00000157870.17,0.997422394629582,0.0025776053704184
MSTRG.94.1,ENSG00000215912.13,0.962200130122989,0.037799869877011
MSTRG.100.1,ENSG00000142611.17,0.953321658063395,0.0466783419366053
MSTRG.102.1,ENSG00000169598.17,0.986335030272682,0.0136649697273183
MSTRG.106.1,ENSG00000116198.14,0.991409041802362,0.0085909581976378
MSTRG.107.1,ENSG00000116198.14,0.975788538193825,0.0242114618061747
MSTRG.108.1,ENSG00000235169.11,0.953998092005724,0.0460019079942759
MSTRG.108.1,ENSG00000169598.17,-0.995348242618645,0.0046517573813546
MSTRG.111.1,ENSG00000196581.11,0.997492042136474,0.0025079578635263
MSTRG.113.1,ENSG00000116254.18,0.964703246228697,0.0352967537713029
MSTRG.116.1,ENSG00000116254.18,0.953861246893428,0.0461387531065723
MSTRG.116.1,ENSG00000158286.13,0.974639636554811,0.0253603634451889
MSTRG.116.1,ENSG00000097021.21,0.98632777879395,0.0136722212060498
MSTRG.121.1,ENSG00000162408.11,0.986138619246634,0.0138613807533662
MSTRG.121.1,ENSG00000162413.17,0.97282537348302,0.0271746265169801
MSTRG.124.1,ENSG00000162413.17,0.967279414010403,0.0327205859895966
MSTRG.124.1,ENSG00000007923.17,0.99419179664958,0.0058082033504201
MSTRG.126.1,ENSG00000041988.16,0.950255826796155,0.0497441732038451
MSTRG.145.1,ENSG00000049245.13,0.968206110019599,0.0317938899804015
MSTRG.165.1,ENSG00000142599.20,0.998993892481405,0.0010061075185946
MSTRG.172.1,ENSG00000049239.13,0.960564405161924,0.0394355948380755
MSTRG.183.1,ENSG00000049239.13,0.976751475571012,0.0232485244289875
MSTRG.184.1,ENSG00000049239.13,0.979228808227077,0.0207711917729228
MSTRG.187.1,ENSG00000171621.14,0.951314901551859,0.0486850984481412
MSTRG.195.1,ENSG00000171603.18,0.9502053564735,0.0497946435265
MSTRG.196.1,ENSG00000162441.12,0.958736868636902,0.0412631313630984
MSTRG.200.1,ENSG00000130939.20,0.9925363718292,0.0074636281707999
MSTRG.206.1,ENSG00000054523.20,0.999947369973829,5.26300261709661e-05
MSTRG.206.2,ENSG00000175279.22,0.955946660248798,0.0440533397512018
MSTRG.206.3,ENSG00000054523.20,0.95617511303416,0.0438248869658396
MSTRG.206.3,ENSG00000142657.21,0.958910476663227,0.0410895233367733
MSTRG.208.1,ENSG00000054523.20,0.999687229270547,0.0003127707294533
MSTRG.208.1,ENSG00000142655.13,0.955053429077743,0.0449465709222574
MSTRG.210.1,ENSG00000142655.13,0.974105831982342,0.0258941680176575
MSTRG.211.1,ENSG00000142657.21,0.999884040008239,0.0001159599917612
MSTRG.213.1,ENSG00000160049.12,0.988710496252207,0.011289503747793
MSTRG.217.1,ENSG00000130940.15,0.987400817414108,0.0125991825858915
MSTRG.220.1,ENSG00000120948.19,0.975308630239102,0.0246913697608984
MSTRG.221.1,ENSG00000116649.10,0.994493138643855,0.0055068613561448
MSTRG.222.1,ENSG00000116649.10,0.997201870904105,0.0027981290958946
MSTRG.225.1,ENSG00000198793.14,0.980086191601273,0.0199138083987269
MSTRG.229.1,ENSG00000198793.14,0.952766047638164,0.0472339523618358
MSTRG.231.1,ENSG00000171819.5,-0.962075938229253,0.0379240617707473
MSTRG.235.1,ENSG00000198793.14,0.992361745247653,0.0076382547523468
MSTRG.236.1,ENSG00000198793.14,0.975165649001729,0.0248343509982708
MSTRG.237.1,ENSG00000198793.14,0.95158040667707,0.0484195933229295
MSTRG.239.1,ENSG00000132879.14,0.98105840263226,0.0189415973677403
MSTRG.240.1,ENSG00000177674.16,0.986941225408585,0.0130587745914153
MSTRG.241.1,ENSG00000116661.11,0.998655129522105,0.0013448704778949
MSTRG.241.1,ENSG00000215910.8,0.960034895791398,0.0399651042086022
MSTRG.242.1,ENSG00000132879.14,0.987814308556999,0.012185691443001
MSTRG.242.1,ENSG00000011021.23,0.954562995225931,0.0454370047740686
MSTRG.242.1,ENSG00000175206.11,0.962250448649376,0.0377495513506236
MSTRG.244.1,ENSG00000011021.23,0.976837839181426,0.0231621608185736
MSTRG.245.1,ENSG00000177000.13,0.957880533021451,0.0421194669785489
MSTRG.246.1,ENSG00000011021.23,0.977411987540906,0.0225880124590945
MSTRG.247.1,ENSG00000175206.11,0.987878339907213,0.0121216600927869
MSTRG.248.1,ENSG00000011021.23,0.985075940165574,0.0149240598344265
MSTRG.249.1,ENSG00000215910.8,0.980645932449099,0.019354067550901
MSTRG.250.1,ENSG00000011021.23,0.984803929535051,0.0151960704649486
MSTRG.250.1,ENSG00000116685.17,0.956241610397544,0.0437583896024561
MSTRG.250.1,ENSG00000116688.18,0.979406740376365,0.0205932596236347
MSTRG.251.1,ENSG00000011021.23,0.996807177175392,0.0031928228246076
MSTRG.251.1,ENSG00000116688.18,0.963262486637518,0.0367375133624821
MSTRG.251.1,ENSG00000116691.11,0.978286395905626,0.0217136040943744
MSTRG.257.1,ENSG00000083444.17,0.997154584963776,0.0028454150362244
MSTRG.258.1,ENSG00000116688.18,0.989177731860617,0.0108222681393826
MSTRG.258.1,ENSG00000116691.11,0.977267151161758,0.0227328488382418
MSTRG.258.1,ENSG00000120949.15,0.983341287051556,0.0166587129484445
MSTRG.260.1,ENSG00000116688.18,0.967898623957146,0.0321013760428541
MSTRG.260.1,ENSG00000116691.11,0.9728506072552,0.0271493927447998
MSTRG.260.1,ENSG00000120949.15,0.977903895078231,0.0220961049217692
MSTRG.261.1,ENSG00000116688.18,0.953606747497553,0.0463932525024468
MSTRG.261.1,ENSG00000116691.11,0.97094527431076,0.0290547256892402
MSTRG.262.1,ENSG00000116688.18,0.988147181626823,0.0118528183731772
MSTRG.262.1,ENSG00000116691.11,0.996048940311915,0.0039510596880852
MSTRG.262.1,ENSG00000120949.15,0.990764296755919,0.0092357032440806
MSTRG.263.1,ENSG00000116688.18,0.986392168659906,0.0136078313400936
MSTRG.263.1,ENSG00000116691.11,0.979551993776834,0.0204480062231656
MSTRG.263.1,ENSG00000120949.15,0.977966315228436,0.0220336847715641
MSTRG.265.1,ENSG00000028137.19,0.954815881719637,0.0451841182803632
MSTRG.268.1,ENSG00000028137.19,-0.965624028175727,0.0343759718242728
MSTRG.333.1,ENSG00000132906.18,0.952433397120919,0.0475666028790813
MSTRG.337.1,ENSG00000116786.15,0.963573091407297,0.0364269085927032
MSTRG.337.1,ENSG00000233954.7,0.957256789242037,0.0427432107579628
MSTRG.339.1,ENSG00000116786.15,0.960558833319933,0.0394411666800675
MSTRG.339.1,ENSG00000233954.7,0.953577914368453,0.0464220856315474
MSTRG.340.1,ENSG00000116786.15,0.981055464766378,0.0189445352336218
MSTRG.340.1,ENSG00000233954.7,0.988686457248613,0.0113135427513874
MSTRG.345.1,ENSG00000065526.13,0.998194965984726,0.0018050340152738
MSTRG.347.1,ENSG00000065526.13,0.992229290791901,0.0077707092080993
MSTRG.355.1,ENSG00000132881.12,0.959665128387543,0.0403348716124567
MSTRG.361.1,ENSG00000157191.20,0.997685268903171,0.0023147310968293
MSTRG.362.1,ENSG00000055070.17,0.97307615608918,0.0269238439108203
MSTRG.382.1,ENSG00000058453.17,0.988320747750909,0.0116792522490912
MSTRG.382.1,ENSG00000159363.19,0.952974082090613,0.0470259179093874
MSTRG.403.1,ENSG00000276747.1,0.951522683697314,0.0484773163026856
MSTRG.434.1,ENSG00000127481.15,0.988415938577826,0.0115840614221737
MSTRG.437.1,ENSG00000127481.15,0.986829362016283,0.0131706379837174
MSTRG.438.1,ENSG00000127481.15,0.998277324419152,0.0017226755808485
MSTRG.440.1,ENSG00000127463.16,0.984305977664934,0.0156940223350659
MSTRG.447.1,ENSG00000127463.16,0.97360774076318,0.02639225923682
MSTRG.447.1,ENSG00000040487.13,0.961276296179232,0.0387237038207677
MSTRG.448.1,ENSG00000127481.15,0.978335062443184,0.0216649375568156
MSTRG.451.1,ENSG00000053371.14,0.95224255851675,0.0477574414832498
MSTRG.456.1,ENSG00000188257.12,0.999781670383361,0.0002183296166391
MSTRG.461.1,ENSG00000158786.5,0.999975734339546,2.42656604541912e-05
MSTRG.461.1,ENSG00000187980.7,0.989209933239636,0.0107900667603639
MSTRG.461.1,ENSG00000162543.6,0.953869799209758,0.0461302007902418
MSTRG.461.1,ENSG00000158816.16,0.985697137355735,0.0143028626442654
MSTRG.466.1,ENSG00000158825.6,0.961523947640823,0.0384760523591767
MSTRG.467.1,ENSG00000183114.8,0.97202119238287,0.0279788076171304
MSTRG.467.1,ENSG00000158825.6,0.954927821485776,0.0450721785142244
MSTRG.467.1,ENSG00000158828.8,0.96624201549639,0.0337579845036102
MSTRG.467.1,ENSG00000244038.11,0.962083967547669,0.0379160324523309
MSTRG.468.1,ENSG00000158828.8,0.99859377977995,0.0014062202200504
MSTRG.469.1,ENSG00000244038.11,0.999567297148487,0.0004327028515131
MSTRG.474.1,ENSG00000117298.16,0.958463729098844,0.0415362709011557
MSTRG.476.1,ENSG00000076864.21,0.995822371500418,0.0041776284995819
MSTRG.481.1,ENSG00000076864.21,0.984173458334768,0.0158265416652319
MSTRG.488.1,ENSG00000142798.20,0.976531963621271,0.0234680363787287
MSTRG.492.1,ENSG00000142798.20,0.989436202997531,0.0105637970024692
MSTRG.495.1,ENSG00000142798.20,0.95416976503627,0.0458302349637298
MSTRG.500.1,ENSG00000184677.18,0.99641378064514,0.0035862193548596
MSTRG.501.1,ENSG00000184677.18,0.999062373732183,0.000937626267817
MSTRG.517.1,ENSG00000125945.16,0.99904582771305,0.0009541722869498
MSTRG.521.1,ENSG00000204219.11,0.999755926065064,0.0002440739349361
MSTRG.521.1,ENSG00000088280.21,0.952736298331632,0.0472637016683681
MSTRG.523.1,ENSG00000204219.11,0.98131247693849,0.0186875230615101
MSTRG.524.1,ENSG00000088280.21,0.999872400600555,0.0001275993994448
MSTRG.526.1,ENSG00000204219.11,0.97773668952307,0.0222633104769296
MSTRG.527.1,ENSG00000088280.21,0.999916285225223,8.37147747768773e-05
MSTRG.532.1,ENSG00000142676.14,0.999389386388035,0.0006106136119653
MSTRG.533.1,ENSG00000057757.10,0.992273861239087,0.007726138760913
MSTRG.533.1,ENSG00000117305.15,0.987307925329458,0.0126920746705424
MSTRG.535.1,ENSG00000142676.14,0.974657577678175,0.0253424223218254
MSTRG.548.1,ENSG00000184454.7,0.966595349328283,0.0334046506717167
MSTRG.550.2,ENSG00000133226.19,0.994366036311381,0.0056339636886185
MSTRG.551.1,ENSG00000169504.15,0.996013252761642,0.0039867472383579
MSTRG.553.1,ENSG00000117616.18,-0.956492011358169,0.0435079886418309
MSTRG.564.1,ENSG00000117640.18,0.996410176615431,0.0035898233845689
MSTRG.565.1,ENSG00000117632.23,0.950453633566067,0.0495463664339334
MSTRG.566.1,ENSG00000175087.10,-0.954395211541481,0.0456047884585186
MSTRG.569.1,ENSG00000236782.8,0.956689206214921,0.0433107937850792
MSTRG.571.1,ENSG00000142669.15,0.982694349061911,0.0173056509380889
MSTRG.577.1,ENSG00000117682.18,-0.962887240932989,0.0371127590670107
MSTRG.579.1,ENSG00000175793.12,0.985756775777769,0.0142432242222308
MSTRG.586.1,ENSG00000175793.12,0.983135384342608,0.0168646156573917
MSTRG.588.1,ENSG00000204160.12,0.998705361416385,0.0012946385836145
MSTRG.588.1,ENSG00000198746.13,0.998627876460991,0.0013721235390093
MSTRG.592.1,ENSG00000090020.11,0.97367484768823,0.0263251523117696
MSTRG.592.1,ENSG00000142784.16,0.995830170981586,0.0041698290184137
MSTRG.595.1,ENSG00000142765.18,0.987121185672381,0.0128788143276193
MSTRG.596.1,ENSG00000142784.16,0.971069319361822,0.028930680638178
MSTRG.596.1,ENSG00000186501.15,0.972129165183435,0.0278708348165655
MSTRG.597.1,ENSG00000142784.16,0.978556474018336,0.0214435259816644
MSTRG.597.1,ENSG00000186501.15,0.995493095018797,0.0045069049812028
MSTRG.597.1,ENSG00000158195.11,0.980903344829402,0.0190966551705977
MSTRG.598.1,ENSG00000158195.11,0.955187147783577,0.0448128522164229
MSTRG.599.1,ENSG00000181773.7,0.966277354584825,0.0337226454151755
MSTRG.600.1,ENSG00000142765.18,0.983998498467105,0.0160015015328955
