transcript_id,gene_id,gene_name,chromosome,start,end,strand
MSTRG.3.1,MSTRG.3,NA,1,789783,790160,.
MSTRG.6.1,MSTRG.6,NA,1,839123,839492,-
MSTRG.7.1,MSTRG.7,NA,1,944775,945740,-
MSTRG.8.1,MSTRG.8,NA,1,952412,953201,-
MSTRG.9.1,MSTRG.9,NA,1,956090,957257,-
MSTRG.10.1,MSTRG.10,NA,1,957648,958040,.
MSTRG.11.1,MSTRG.11,NA,1,999403,999709,-
MSTRG.12.1,MSTRG.12,NA,1,1014334,1014540,.
MSTRG.13.1,MSTRG.13,NA,1,1020246,1022459,+
MSTRG.14.1,MSTRG.14,NA,1,1041329,1042010,+
MSTRG.15.2,MSTRG.15,NA,1,1045413,1046631,+
MSTRG.15.3,MSTRG.15,NA,1,1046200,1046631,+
MSTRG.16.1,MSTRG.16,NA,1,1047323,1048392,+
MSTRG.17.1,MSTRG.17,NA,1,1049301,1049973,+
MSTRG.20.1,MSTRG.20,NA,1,1054950,1056142,.
MSTRG.22.1,MSTRG.22,NA,1,1223244,1228907,-
MSTRG.23.1,MSTRG.23,NA,1,1254890,1255172,.
MSTRG.24.1,MSTRG.24,NA,1,1255955,1268404,-
MSTRG.25.1,MSTRG.25,NA,1,1272511,1272759,-
MSTRG.26.1,MSTRG.26,NA,1,1275215,1279243,+
MSTRG.27.1,MSTRG.27,NA,1,1280406,1280890,+
MSTRG.28.1,MSTRG.28,NA,1,1287182,1287596,+
MSTRG.29.1,MSTRG.29,NA,1,1287678,1288021,+
MSTRG.30.1,MSTRG.30,NA,1,1292298,1296277,-
MSTRG.30.2,MSTRG.30,NA,1,1292298,1294199,-
MSTRG.32.2,MSTRG.32,NA,1,1300049,1300960,-
MSTRG.33.1,MSTRG.33,NA,1,1309093,1309526,+
MSTRG.34.1,MSTRG.34,NA,1,1311477,1312287,-
MSTRG.34.2,MSTRG.34,NA,1,1311776,1312147,-
MSTRG.36.1,MSTRG.36,NA,1,1319237,1320633,-
MSTRG.37.1,MSTRG.37,NA,1,1324883,1327024,+
MSTRG.43.1,MSTRG.43,NA,1,1386476,1390552,-
MSTRG.44.1,MSTRG.44,NA,1,1391013,1391279,.
MSTRG.45.1,MSTRG.45,NA,1,1391615,1392168,.
MSTRG.46.1,MSTRG.46,NA,1,1393198,1398344,-
MSTRG.47.1,MSTRG.47,NA,1,1401874,1407152,-
MSTRG.50.1,MSTRG.50,NA,1,1439732,1440916,.
MSTRG.53.1,MSTRG.53,NA,1,1512255,1516039,+
MSTRG.54.1,MSTRG.54,NA,1,1527799,1533976,+
MSTRG.59.1,MSTRG.59,NA,1,1629643,1630603,+
MSTRG.60.1,MSTRG.60,NA,1,1635681,1636105,-
MSTRG.61.1,MSTRG.61,NA,1,1637022,1638590,-
MSTRG.62.1,MSTRG.62,NA,1,1640386,1642508,-
MSTRG.64.1,MSTRG.64,NA,1,1665950,1668471,-
MSTRG.65.1,MSTRG.65,NA,1,1676121,1676644,-
MSTRG.66.1,MSTRG.66,NA,1,1681997,1682240,.
MSTRG.68.1,MSTRG.68,NA,1,1702824,1703248,-
MSTRG.69.1,MSTRG.69,NA,1,1704223,1704677,-
MSTRG.70.1,MSTRG.70,NA,1,1704877,1705732,-
MSTRG.71.1,MSTRG.71,NA,1,1707518,1709640,-
MSTRG.72.1,MSTRG.72,NA,1,1712325,1716478,-
MSTRG.73.1,MSTRG.73,NA,1,1719327,1722832,-
MSTRG.74.1,MSTRG.74,NA,1,1738999,1739502,-
MSTRG.75.1,MSTRG.75,NA,1,1752750,1753622,-
MSTRG.76.1,MSTRG.76,NA,1,1754051,1755473,-
MSTRG.77.1,MSTRG.77,NA,1,1756237,1756604,-
MSTRG.80.1,MSTRG.80,NA,1,2147279,2148580,-
MSTRG.80.2,MSTRG.80,NA,1,2147497,2148162,-
MSTRG.80.3,MSTRG.80,NA,1,2147516,2148162,-
MSTRG.80.4,MSTRG.80,NA,1,2148184,2148580,-
MSTRG.81.2,MSTRG.81,NA,1,2184617,2185203,+
MSTRG.82.1,MSTRG.82,NA,1,2185245,2193910,-
MSTRG.82.2,MSTRG.82,NA,1,2189551,2194478,-
MSTRG.84.1,MSTRG.84,NA,1,2254402,2256810,-
MSTRG.84.2,MSTRG.84,NA,1,2255462,2256810,-
MSTRG.84.3,MSTRG.84,NA,1,2255462,2256810,-
MSTRG.84.4,MSTRG.84,NA,1,2255462,2256810,-
MSTRG.84.5,MSTRG.84,NA,1,2255468,2256810,-
MSTRG.85.1,MSTRG.85,NA,1,2276846,2278108,-
MSTRG.87.1,MSTRG.87,NA,1,2391926,2397220,+
MSTRG.88.1,MSTRG.88,NA,1,2393832,2394234,.
MSTRG.89.1,MSTRG.89,NA,1,2399345,2405836,+
MSTRG.90.1,MSTRG.90,NA,1,2406483,2406845,-
MSTRG.92.1,MSTRG.92,NA,1,2520737,2521754,-
MSTRG.93.1,MSTRG.93,NA,1,2557760,2558671,+
MSTRG.94.1,MSTRG.94,NA,1,2559958,2561852,+
MSTRG.94.2,MSTRG.94,NA,1,2561270,2561852,+
MSTRG.95.1,MSTRG.95,NA,1,2563127,2563422,.
MSTRG.96.1,MSTRG.96,NA,1,3283345,3283657,+
